DateTime,RealPower
29/02/20 0:00,0
29/02/20 1:00,0
29/02/20 2:00,0
29/02/20 3:00,0
29/02/20 4:00,0
29/02/20 5:00,0
29/02/20 6:00,0
29/02/20 7:00,0.106
29/02/20 8:00,7.924
29/02/20 9:00,19.317
29/02/20 10:00,29.399
29/02/20 11:00,44.717
29/02/20 12:00,47.049
29/02/20 13:00,47.029
29/02/20 14:00,44.719
29/02/20 15:00,37.46
29/02/20 16:00,20.366
29/02/20 17:00,8.34
29/02/20 18:00,0.266
29/02/20 19:00,0
29/02/20 20:00,0
29/02/20 21:00,0
29/02/20 22:00,0
29/02/20 23:00,0
